2026-05-10 13:42:49,562 | INFO     | scraper |     ✅ NEW  : Senior Software Developer
2026-05-10 13:42:52,109 | INFO     | scraper |   📄 Page 4/5
2026-05-10 13:42:53,181 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=4
2026-05-10 13:42:56,944 | INFO     | scraper |     54 cards found
2026-05-10 13:42:59,559 | INFO     | scraper |   📄 Page 4/5
2026-05-10 13:43:00,706 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=4
2026-05-10 13:43:04,120 | INFO     | scraper |     54 cards found
2026-05-10 13:43:04,149 | INFO     | scraper |     ✅ NEW  : Executive Secretary and Office Administrative Assistant
2026-05-10 13:43:04,166 | INFO     | scraper |     ✅ NEW  : Senior Education Expert
2026-05-10 13:43:04,185 | INFO     | scraper |     ✅ NEW  : Head, Accounting and Finance Unit
2026-05-10 13:43:04,201 | INFO     | scraper |     ✅ NEW  : Senior Examination and Certifications Expert
2026-05-10 13:43:04,218 | INFO     | scraper |     ✅ NEW  : Senior Member Engagement Expert
2026-05-10 13:43:04,237 | INFO     | scraper |     ✅ NEW  : Procurement Expert
2026-05-10 13:43:04,255 | INFO     | scraper |     ✅ NEW  : Senior ICT and Digital Expert
2026-05-10 13:43:04,274 | INFO     | scraper |     ✅ NEW  : Senior Admission Expert
2026-05-10 13:43:04,295 | INFO     | scraper |     ✅ NEW  : Coffee Processing Officer
2026-05-10 13:43:04,312 | INFO     | scraper |     ✅ NEW  : Documentation Officer
2026-05-10 13:43:04,329 | INFO     | scraper |     ✅ NEW  : Cupping Assistant
2026-05-10 13:43:04,355 | INFO     | scraper |     ✅ NEW  : Grant Finance Manager
2026-05-10 13:43:04,371 | INFO     | scraper |     ✅ NEW  : Waiter
2026-05-10 13:43:04,390 | INFO     | scraper |     ✅ NEW  : Routine immunization Support Manager
2026-05-10 13:43:04,410 | INFO     | scraper |     ✅ NEW  : Warehouse Supervisor
2026-05-10 13:43:04,426 | INFO     | scraper |     ✅ NEW  : Finance and  Administration Manager
2026-05-10 13:43:04,445 | INFO     | scraper |     ✅ NEW  : Program Coordinator – Cleft Lip & Palate
2026-05-10 13:43:04,462 | INFO     | scraper |     ✅ NEW  : Mobile App Developer (End-to-End)
2026-05-10 13:43:04,480 | INFO     | scraper |     ✅ NEW  : Project Coordinator- Dessie (Children in Street Situation Project)
2026-05-10 13:43:04,500 | INFO     | scraper |     ✅ NEW  : Invitation to RFO for the selection of Insurance Broker. (RFO submitted must be in accordance with the instructions outlined in the TOR and RFO document) REF: RFO-ADD-ZZ1-50102
2026-05-10 13:43:04,521 | INFO     | scraper |     ✅ NEW  : ELECTROMECHANICAL
2026-05-10 13:43:04,541 | INFO     | scraper |     ✅ NEW  : Auditor
2026-05-10 13:43:04,559 | INFO     | scraper |     ✅ NEW  : Admin and Staff Assistant
2026-05-10 13:43:04,578 | INFO     | scraper |     ✅ NEW  : Branch Cashier (2)
2026-05-10 13:43:04,598 | INFO     | scraper |     ✅ NEW  : Senior Audit Follow up and Analysis Officer
2026-05-10 13:43:04,615 | INFO     | scraper |     ✅ NEW  : Junior Battery Charging Technician
2026-05-10 13:43:04,639 | INFO     | scraper |     ✅ NEW  : Routine immunization Support Manager
2026-05-10 13:43:04,656 | INFO     | scraper |     ✅ NEW  : Community Development Facilitator (CDF)
2026-05-10 13:43:04,673 | INFO     | scraper |     ✅ NEW  : Planning and Financial Analyst Manager
2026-05-10 13:43:04,696 | INFO     | scraper |     ✅ NEW  : Finance and  Administration Manager
2026-05-10 13:43:04,727 | INFO     | scraper |     ✅ NEW  : Special Advisor for Field Epidemiology Program
2026-05-10 13:43:04,745 | INFO     | scraper |     ✅ NEW  : Special Advisor for Field Epidemiology Program
2026-05-10 13:43:07,166 | INFO     | scraper |   📄 Page 5/5
2026-05-10 13:43:08,264 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=5
2026-05-10 13:43:11,813 | INFO     | scraper |     54 cards found
2026-05-10 13:43:14,347 | INFO     | scraper |   📄 Page 5/5
2026-05-10 13:43:15,513 | INFO     | scraper |   [WEB] → https://www.hahu.jobs/jobs?min_yoe=0&max_yoe=100&page=5
2026-05-10 13:43:19,415 | INFO     | scraper |     54 cards found
2026-05-10 13:43:19,460 | INFO     | scraper |     ✅ NEW  : Deputy Operation Manager
2026-05-10 13:43:19,486 | INFO     | scraper |     ✅ NEW  : Senior Marketing Officer
2026-05-10 13:43:19,508 | INFO     | scraper |     ✅ NEW  : General Manager (GM)
2026-05-10 13:43:19,542 | INFO     | scraper |     ✅ NEW  : HR Manager
2026-05-10 13:43:19,562 | INFO     | scraper |     ✅ NEW  : Junior Accountant
